x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.1.28,2024-01-28 00:00:00,AB,2024,1,28,3.4,,-3.2,,10,,0,,,,,,,,,,,,0,,14.6,,49,,94,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.1.29,2024-01-29 00:00:00,AB,2024,1,29,1.1,,-4.6,,6.8,,0,,,,,,,,,,,,0,,16.9,,60,,95,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.1.30,2024-01-30 00:00:00,AB,2024,1,30,5.8,,-0.9,,12.4,,0,,,,,,,,31,,45,,0,,12.2,,43,,80,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.1.31,2024-01-31 00:00:00,AB,2024,1,31,1.1,,-5.4,,7.7,,0,,,,,,,,15,,37,,0,,16.9,,42,,92,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.2.1,2024-02-01 00:00:00,AB,2024,2,1,4.4,,-2.6,,11.3,,0,,,,,,,,,,,,0,,13.6,,52,,96,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.2.2,2024-02-02 00:00:00,AB,2024,2,2,1.6,,-3.2,,6.4,,0,,,,,,,,,,,,0,,16.4,,73,,98,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.2.3,2024-02-03 00:00:00,AB,2024,2,3,-1.7,,-6.9,,3.6,,0,,,,,,,,35,,44,,0,,19.7,,56,,96,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.2.4,2024-02-04 00:00:00,AB,2024,2,4,-8.2,,-10.3,,-6,,1.5,,,,,,,,,,,,0,,26.2,,45,,87,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.2.5,2024-02-05 00:00:00,AB,2024,2,5,-8.1,,-9.3,,-6.9,,3.2,,,,,,,,,,,,0,,26.1,,78,,94,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.2.6,2024-02-06 00:00:00,AB,2024,2,6,-6.4,,-7.9,,-4.8,,0,,,,,,,,,,,,0,,24.4,,75,,91,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.2.7,2024-02-07 00:00:00,AB,2024,2,7,-4.4,,-5.9,,-2.9,,0,,,,,,,,,,,,0,,22.4,,77,,94,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.2.8,2024-02-08 00:00:00,AB,2024,2,8,-3.8,,-4.7,,-2.9,,1.5,,,,,,,,,,,,0,,21.8,,76,,93,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.2.9,2024-02-09 00:00:00,AB,2024,2,9,-8,,-11.9,,-4,,0,,,,,,,,,,,,0,,26,,60,,91,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.2.10,2024-02-10 00:00:00,AB,2024,2,10,-7.5,,-14.3,,-0.6,,0,,,,,,,,,,,,0,,25.5,,57,,89,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.2.11,2024-02-11 00:00:00,AB,2024,2,11,-0.4,,-5.2,,4.3,,0,,,,,,,,,,,,0,,18.4,,43,,78,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.2.12,2024-02-12 00:00:00,AB,2024,2,12,-3.5,,-8.9,,1.9,,0,,,,,,,,31,,35,,0,,21.5,,40,,87,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.2.13,2024-02-13 00:00:00,AB,2024,2,13,-3.9,,-6.1,,-1.7,,0,,,,,,,,35,,35,,0,,21.9,,51,,73,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.2.14,2024-02-14 00:00:00,AB,2024,2,14,-7.4,,-8.7,,-6.1,,0,,,,,,,,,,,,0,,25.4,,61,,82,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.2.15,2024-02-15 00:00:00,AB,2024,2,15,-9.2,,-12.7,,-5.8,,0,,,,,,,,,,,,0,,27.2,,51,,83,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.2.16,2024-02-16 00:00:00,AB,2024,2,16,-7.3,,-15.3,,0.7,,0,,,,,,,,,,,,0,,25.3,,32,,82,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.2.17,2024-02-17 00:00:00,AB,2024,2,17,-2.1,,-10.2,,6,,0,,,,,,,,,,,,0,,20.1,,28,,71,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.2.18,2024-02-18 00:00:00,AB,2024,2,18,-4,,-12.4,,4.4,,0,,,,,,,,,,,,0,,22,,33,,79,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.2.19,2024-02-19 00:00:00,AB,2024,2,19,-3.6,,-12.8,,5.7,,0,,,,,,,,,,,,0,,21.6,,31,,85,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.2.20,2024-02-20 00:00:00,AB,2024,2,20,-3.9,,-9.3,,1.5,,0,,,,,,,,,,,,0,,21.9,,50,,79,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.2.21,2024-02-21 00:00:00,AB,2024,2,21,-2.3,,-9.5,,4.9,,0,,,,,,,,,,,,0,,20.3,,66,,91,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.2.22,2024-02-22 00:00:00,AB,2024,2,22,3,,-2.6,,8.5,,0,,,,,,,,,,,,0,,15,,33,,71,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.2.23,2024-02-23 00:00:00,AB,2024,2,23,5.3,,-0.6,,11.2,,0,,,,,,,,31,,50,,0,,12.7,,26,,57,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.2.24,2024-02-24 00:00:00,AB,2024,2,24,1.1,,-3.4,,5.6,,0,,,,,,,,35,,43,,0,,16.9,,37,,86,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.2.25,2024-02-25 00:00:00,AB,2024,2,25,-6,,-10.5,,-1.5,,6.8,,,,,,,,8,,51,,0,,24,,68,,95,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.2.26,2024-02-26 00:00:00,AB,2024,2,26,-15.8,,-21.3,,-10.4,,6.8,,,,,,,,5,,50,,0,,33.8,,72,,86,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.2.27,2024-02-27 00:00:00,AB,2024,2,27,-19.7,,-23.5,,-15.8,,0.2,,,,,,,,,,,,0,,37.7,,61,,81,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.2.28,2024-02-28 00:00:00,AB,2024,2,28,-17.4,,-20.9,,-13.8,,0,,,,,,,,16,,33,,0,,35.4,,64,,78,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.2.29,2024-02-29 00:00:00,AB,2024,2,29,-15.4,,-18.6,,-12.3,,0,,,,,,,,32,,34,,0,,33.4,,64,,80,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.3.1,2024-03-01 00:00:00,AB,2024,3,1,-15.1,,-17.9,,-12.3,,0.2,,,,,,,,,,,,0,,33.1,,53,,75,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.3.2,2024-03-02 00:00:00,AB,2024,3,2,-15.5,,-16.8,,-14.2,,4.4,,,,,,,,6,,32,,0,,33.5,,60,,82,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.3.3,2024-03-03 00:00:00,AB,2024,3,3,-18.4,,-21.3,,-15.6,,0,,,,,,,,33,,32,,0,,36.4,,57,,77,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.3.4,2024-03-04 00:00:00,AB,2024,3,4,-21.1,,-24.5,,-17.8,,0.2,,,,,,,,30,,38,,0,,39.1,,53,,79,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.3.5,2024-03-05 00:00:00,AB,2024,3,5,-20.6,,-24.6,,-16.6,,1.1,,,,,,,,,,,,0,,38.6,,55,,81,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.3.6,2024-03-06 00:00:00,AB,2024,3,6,-20.5,,-27.2,,-13.8,,0,,,,,,,,,,,,0,,38.5,,47,,81,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.3.7,2024-03-07 00:00:00,AB,2024,3,7,-11.4,,-21.9,,-0.9,,0,,,,,,,,,,,,0,,29.4,,42,,82,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.3.8,2024-03-08 00:00:00,AB,2024,3,8,-3.6,,-12.5,,5.4,,0,,,,,,,,,,,,0,,21.6,,35,,83,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.3.9,2024-03-09 00:00:00,AB,2024,3,9,1.1,,-6,,8.2,,0,,,,,,,,,,,,0,,16.9,,34,,77,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.3.10,2024-03-10 00:00:00,AB,2024,3,10,4,,-2.3,,10.4,,0,,,,,,,,,,,,0,,14,,30,,84,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.3.11,2024-03-11 00:00:00,AB,2024,3,11,1.5,,-5.4,,8.3,,0,,,,,,,,,,,,0,,16.5,,41,,83,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.3.12,2024-03-12 00:00:00,AB,2024,3,12,1.1,,-2.7,,4.9,,0,,,,,,,,,,,,0,,16.9,,61,,91,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.3.13,2024-03-13 00:00:00,AB,2024,3,13,0.7,,-6.2,,7.6,,0,,,,,,,,,,,,0,,17.3,,51,,97,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.3.14,2024-03-14 00:00:00,AB,2024,3,14,4,,-3.5,,11.4,,0,,,,,,,,,,,,0,,14,,31,,93,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.3.15,2024-03-15 00:00:00,AB,2024,3,15,7.5,,4.5,,10.6,,0,,,,,,,,33,,34,,0,,10.5,,37,,62,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.3.16,2024-03-16 00:00:00,AB,2024,3,16,5.8,,1.8,,9.8,,0,,,,,,,,,,,,0,,12.2,,36,,76,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.3.17,2024-03-17 00:00:00,AB,2024,3,17,7.5,,0.5,,14.5,,0,,,,,,,,17,,35,,0,,10.5,,50,,84,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.3.18,2024-03-18 00:00:00,AB,2024,3,18,9.8,,3.4,,16.2,,0,,,,,,,,32,,34,,0,,8.2,,18,,70,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.3.19,2024-03-19 00:00:00,AB,2024,3,19,-0.3,,-4.1,,3.4,,0,,,,,,,,,,,,0,,18.3,,59,,93,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.3.20,2024-03-20 00:00:00,AB,2024,3,20,-5.5,,-7.3,,-3.8,,1.8,,,,,,,,,,,,0,,23.5,,51,,87,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.3.21,2024-03-21 00:00:00,AB,2024,3,21,-5.6,,-8.6,,-2.6,,2,,,,,,,,35,,31,,0,,23.6,,63,,90,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.3.22,2024-03-22 00:00:00,AB,2024,3,22,-8.4,,-11.1,,-5.8,,0.4,,,,,,,,,,,,0,,26.4,,64,,85,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.3.23,2024-03-23 00:00:00,AB,2024,3,23,-6.3,,-8.5,,-4.2,,0.4,,,,,,,,,,,,0,,24.3,,65,,86,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.3.24,2024-03-24 00:00:00,AB,2024,3,24,-4.3,,-6.7,,-1.9,,0,,,,,,,,15,,37,,0,,22.3,,60,,83,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.3.25,2024-03-25 00:00:00,AB,2024,3,25,-4.7,,-6.9,,-2.5,,0,,,,,,,,16,,41,,0,,22.7,,58,,77,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.3.26,2024-03-26 00:00:00,AB,2024,3,26,-3.3,,-7.3,,0.6,,0,,,,,,,,17,,34,,0,,21.3,,62,,78,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.3.27,2024-03-27 00:00:00,AB,2024,3,27,3.1,,-4.8,,11,,0,,,,,,,,36,,36,,0,,14.9,,29,,86,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.3.28,2024-03-28 00:00:00,AB,2024,3,28,-3.7,,-6.4,,-1,,2.6,,,,,,,,3,,33,,0,,21.7,,56,,92,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.3.29,2024-03-29 00:00:00,AB,2024,3,29,-4.9,,-8.4,,-1.4,,0,,,,,,,,,,,,0,,22.9,,44,,84,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.3.30,2024-03-30 00:00:00,AB,2024,3,30,-3.2,,-10.3,,3.8,,0,,,,,,,,,,,,0,,21.2,,40,,75,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.3.31,2024-03-31 00:00:00,AB,2024,3,31,1.5,,-6.5,,9.4,,0,,,,,,,,20,,40,,0,,16.5,,25,,89,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.4.1,2024-04-01 00:00:00,AB,2024,4,1,7,,1.1,,12.8,,0,,,,,,,,32,,43,,0,,11,,16,,66,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.4.2,2024-04-02 00:00:00,AB,2024,4,2,9.9,,0.2,,19.7,,0,,,,,,,,,,,,0,,8.1,,31,,73,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.4.3,2024-04-03 00:00:00,AB,2024,4,3,6.2,,2.1,,10.2,,0,,,,,,,,33,,54,,0,,11.8,,25,,85,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.4.4,2024-04-04 00:00:00,AB,2024,4,4,1.8,,-0.2,,3.8,,0,,,,,,,,,,,,0,,16.2,,43,,60,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.4.5,2024-04-05 00:00:00,AB,2024,4,5,0.3,,-1.2,,1.7,,3.8,,,,,,,,,,,,0,,17.7,,59,,97,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.4.6,2024-04-06 00:00:00,AB,2024,4,6,1.8,,-0.5,,4,,0.2,,,,,,,,,,,,0,,16.2,,71,,94,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.4.7,2024-04-07 00:00:00,AB,2024,4,7,6.1,,-1.9,,14,,0,,,,,,,,,,,,0,,11.9,,27,,96,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.4.8,2024-04-08 00:00:00,AB,2024,4,8,8.3,,2,,14.6,,0,,,,,,,,,,,,0,,9.7,,23,,70,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.4.9,2024-04-09 00:00:00,AB,2024,4,9,6.7,,1.5,,11.8,,0,,,,,,,,32,,40,,0,,11.3,,19,,60,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.4.10,2024-04-10 00:00:00,AB,2024,4,10,6.6,,1.6,,11.5,,0,,,,,,,,34,,38,,0,,11.4,,22,,59,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.4.11,2024-04-11 00:00:00,AB,2024,4,11,5.9,,-1.6,,13.5,,0,,,,,,,,15,,40,,0,,12.1,,24,,60,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.4.12,2024-04-12 00:00:00,AB,2024,4,12,8.7,,2.1,,15.4,,0,,,,,,,,15,,38,,0,,9.3,,28,,68,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.4.13,2024-04-13 00:00:00,AB,2024,4,13,8.7,,3.6,,13.7,,0,,,,,,,,28,,40,,0,,9.3,,19,,70,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.4.14,2024-04-14 00:00:00,AB,2024,4,14,8.5,,0.1,,16.9,,0,,,,,,,,,,,,0,,9.5,,17,,57,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.4.15,2024-04-15 00:00:00,AB,2024,4,15,7.3,,2.1,,12.5,,0,,,,,,,,34,,58,,0,,10.7,,27,,71,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.4.16,2024-04-16 00:00:00,AB,2024,4,16,1.8,,-1.8,,5.4,,1.2,,,,,,,,32,,48,,0,,16.2,,52,,96,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.4.17,2024-04-17 00:00:00,AB,2024,4,17,0.8,,-3.4,,4.9,,1.4,,,,,,,,3,,52,,0,,17.2,,28,,93,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.4.18,2024-04-18 00:00:00,AB,2024,4,18,-1.3,,-6.8,,4.2,,0,,,,,,,,35,,42,,0,,19.3,,20,,65,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.4.19,2024-04-19 00:00:00,AB,2024,4,19,0.8,,-5.9,,7.5,,0,,,,,,,,,,,,0,,17.2,,16,,49,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.4.20,2024-04-20 00:00:00,AB,2024,4,20,4.8,,-3.7,,13.3,,0,,,,,,,,15,,37,,0,,13.2,,13,,56,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.4.21,2024-04-21 00:00:00,AB,2024,4,21,6.8,,0.5,,13.2,,0,,,,,,,,28,,62,,0,,11.2,,26,,56,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.4.22,2024-04-22 00:00:00,AB,2024,4,22,12.4,,6.3,,18.5,,0,,,,,,,,32,,69,,0,,5.6,,15,,48,
